1-12-2019,
,1-20-2019,
,2-4---2-10-2019,
,2-11---2-17-2019,
,Presidents Week,
,2-25---3-3-2019,
,3-4-19---3-9-2019,
,3-17---2-24-19,
,3-24---3-31-2019,
,4-1---4-7-2019,
,4-8---4-14-2019,
,Easter Fasting,
,4-23---4-28-2019,
,4-29---5-5-2019,
,Finals Week,
,First_Junior,
,9-16-2019,
,New 9-16-19,
,
